count,shrub_cov_20m,shrub_cov_30m,shrub_cov_40m,shrub_cov_50m
403,0.165548,0.1456,0.0414046,0.257241
404,0.165343,0.1264,0.0686326,0.201544
405,0.165187,0.178,0.108237,0.197116
406,0.164992,0.2264,0.13299,0.217565
407,0.164678,0.118,0.209048,0.173966
408,0.164662,0.1232,0.0767334,0.118341
409,0.164655,0.1312,0.0436548,0.111969
410,0.164636,0.1232,0.125789,0.114237
411,0.16425,0.0996,0.129614,0.102176
412,0.164123,0.066,0.0733581,0.0901872
413,0.164085,0.0872,0.156842,0.135911
414,0.163879,0.2676,0.154367,0.149304
415,0.163862,0.2376,0.0888848,0.0952276
416,0.163625,0.0676,0.099911,0.0789543
417,0.163616,0.0504,0.153917,0.118593
418,0.163546,0.17,0.107112,0.14736
419,0.163316,0.178,0.0828091,0.110313
420,0.163132,0.1768,0.0650322,0.112185
421,0.163025,0.068,0.072683,0.108045
422,0.162911,0.138,0.0468052,0.087451
423,0.16274,0.2016,0.120613,0.104624
424,0.162602,0.1776,0.247302,0.127342
425,0.162461,0.2904,0.168544,0.125254
426,0.16204,0.428,0.0848343,0.117837
427,0.161682,0.222,0.0616568,0.0965957
428,0.161602,0.2704,0.027453,0.0643371
429,0.161491,0.4648,0.115888,0.062897
430,0.16145,0.3204,0.0526558,0.10466
431,0.161395,0.3368,0.0738081,0.142967
432,0.161124,0.3864,0.251803,0.171626
433,0.16109,0.284,0.384117,0.191823
434,0.161027,0.1688,0.237176,0.112185
435,0.160841,0.1772,0.22705,0.0493239
436,0.160719,0.1048,0.290057,0.063257
437,0.160119,0.1028,0.18587,0.0610129
438,0.159984,0.1584,0.09091,0.171854
439,0.159934,0.0836,0.109587,0.188691
440,0.159471,0.1316,0.23155,0.183327
441,0.159289,0.2556,0.198247,0.113985
442,0.158966,0.2092,0.0954105,0.136559
443,0.15892,0.0296,0.110262,0.257889
444,0.158891,0.0332,0.0589565,0.267357
445,0.158831,0.1148,0.0920351,0.212957
446,0.158825,0.1628,0.0317285,0.195568
447,0.158565,0.1556,0.0641321,0.191787
448,0.158527,0.1864,0.113863,0.188619
449,0.158199,0.234,0.189471,0.143147
450,0.158195,0.1276,0.0891098,0.112365
451,0.158145,0.1224,0.0677325,0.13141
452,0.157827,0.1108,0.090685,0.118197
453,0.157764,0.064,0.110487,0.0808985
454,0.157668,0.0572,0.113863,0.127198
455,0.157382,0.1108,0.143341,0.140303
456,0.157373,0.23,0.105087,0.0841747
457,0.157137,0.2376,0.0870846,0.0940755
458,0.156802,0.0912,0.0855094,0.140051
459,0.156702,0.0896,0.158867,0.133715
460,0.15664,0.042,0.105087,0.0985759
461,0.156503,0.0876,0.0830341,0.113013
462,0.156441,0.198,0.0864095,0.124678
463,0.156281,0.1248,0.0882097,0.123778
464,0.156151,0.0664,0.0479303,0.116577
465,0.156098,0.186,0.191046,0.105416
466,0.156088,0.2992,0.207248,0.0959837
467,0.156078,0.446,0.0661573,0.103256
468,0.155956,0.4896,0.0765084,0.110709
469,0.155938,0.2928,0.09091,0.0960557
470,0.155793,0.2504,0.163818,0.128674
471,0.155705,0.0636,0.249777,0.183003
472,0.155652,0.0304,0.0830341,0.162085
473,0.155535,0.0612,0.0641321,0.126262
474,0.155522,0.074,0.0607567,0.111393
475,0.155477,0.1056,0.189471,0.0611689
476,0.155433,0.1124,0.377592,0.0319705
477,0.155367,0.1088,0.217824,0.0605568
478,0.15534,0.1232,0.0825841,0.0727618
479,0.155106,0.222,0.110937,0.0521802
480,0.155088,0.19,0.208148,0.219714
481,0.15506,0.0744,0.240551,0.226818
482,0.155055,0.1072,0.134565,0.138827
483,0.155033,0.1,0.0951855,0.088243
484,0.154933,0.108,0.135015,0.126478
485,0.154823,0.1456,0.254278,0.126442
486,0.154704,0.1736,0.109812,0.105416
487,0.154657,0.1128,0.0918101,0.131194
488,0.154615,0.0428,0.109137,0.178898
489,0.15458,0.0448,0.115213,0.166585
490,0.154561,0.0436,0.0888848,0.12097
491,0.154421,0.0688,0.0432048,0.127882
492,0.154221,0.1236,0.0758334,0.143435
493,0.154204,0.1988,0.124664,0.113193
494,0.154126,0.1512,0.186771,0.10538
495,0.154074,0.0876,0.0801088,0.157729
496,0.153712,0.1292,0.0823591,0.149412
497,0.153629,0.1364,0.0742582,0.0865509
498,0.153518,0.0892,0.121063,0.107901
499,0.153489,0.0552,0.0886598,0.142751
500,0.15336,0.0932,0.106437,0.112797
501,0.153176,0.1432,0.0807839,0.100664
502,0.153137,0.1444,0.152117,0.117585
503,0.153066,0.0524,0.147166,0.123562
504,0.152904,0.0628,0.0558061,0.117765
505,0.152488,0.0728,0.0643571,0.0981438
506,0.152431,0.076,0.104411,0.0819065
507,0.152376,0.2636,0.0855094,0.0787383
508,0.152278,0.2456,0.18272,0.111933
509,0.152198,0.098,0.326511,0.125002
