count,shrub_cov_20m,shrub_cov_30m,shrub_cov_40m,shrub_cov_50m
507,0.052251,0.0356,0.0276756,0.0289463
508,0.056575,0.03,0.0065251,0.02477
509,0.030025,0.0484,0.0069752,0.0617809
510,0.055889,0.024,0.0092252,0.0583247
511,0.092602,0.0164,0.0731266,0.0767581
512,0.095291,0.0032,0.0598513,0.025346
513,0.082976,0.0048,0.0119253,0.0214577
514,0.057808,0.0024,0.0132753,0.0175694
515,0.015834,0.0272,0.0612013,0.0181454
516,0.004522,0.046,0.0693015,0.0450756
517,0.007159,0.0308,0.206104,0.0653812
518,0.003648,0.0572,0.119478,0.0028802
519,0.000528,0.0648,0.0441009,0.0080646
520,0.000542,0.0172,0.0344257,0.0007201
521,0.001113,0.018,0.0128253,0.0210257
522,0.002204,0.0124,0.0180004,0.0283703
523,0.000788,0.0056,0.0069752,0.0041763
524,0.000072,0.0132,0.002025,0.0043203
525,0.000577,0.0368,0.0067501,0.0099368
526,0.00028,0.0252,0.0227255,0.0351388
527,0.006533,0.0352,0.0099002,0.0455076
528,0.001039,0.074,0.0186754,0.0383071
529,0.022391,0.0204,0.0173254,0.0339867
530,0.067005,0.0264,0.0153003,0.0648052
531,0.022365,0.0208,0.0009,0.0228978
532,0.007618,0.0576,0.0198004,0.0103688
533,0.000574,0.0432,0.0573762,0.0036003
534,0,0.0384,0.0416259,0.0145452
535,0.001713,0.022,0.0708765,0.0082087
536,0.000756,0.0296,0.0119253,0.0214577
537,0.000226,0.0608,0.0153003,0.0141131
538,0.033611,0.0468,0.0094502,0.0213137
539,0.057078,0.0464,0.0225005,0.0008641
540,0.039639,0.0504,0.0065251,0.0027362
541,0.031413,0.0512,0.0254255,0.0037443
542,0.022356,0.0412,0.0128253,0.0105128
543,0.026069,0.018,0.0256505,0.0151212
544,0.077218,0,0.0065251,0.0012961
545,0.118817,0.0016,0.0312757,0.0033123
546,0.078842,0.0096,0.0247505,0.0190095
547,0.032858,0.0076,0.0243005,0.0023042
548,0.049545,0.018,0.0355508,0.0172814
549,0.057699,0.0168,0.0216005,0.0092167
550,0.031634,0,0.0171004,0.0133931
551,0.031165,0.006,0.0103502,0.0336987
552,0.023236,0.0088,0.0535511,0.0132491
553,0.010159,0.006,0.0126003,0.0195856
554,0.011127,0.0264,0.00045,0.0064805
555,0.013985,0.018,0.0054001,0.0025922
556,0.015645,0.0044,0.0042751,0.0014401
557,0.05072,0.0004,0.0254255,0.0008641
558,0.040523,0,0.0117002,0.0017281
559,0.022098,0.01,0.000225,0.0010081
560,0.029967,0.0068,0.00045,0.0028802
561,0.036223,0.0064,0.0067501,0.0043203
562,0.026448,0.0036,0.000675,0.0048964
563,0.035154,0.002,0.0126003,0.000144
564,0.017426,0.016,0.0168754,0.0105128
565,0.021625,0.0012,0.0193504,0.0302424
566,0.00798,0.02,0.0384758,0.0453636
567,0.000639,0.0736,0.0776266,0.0537163
568,0.000044,0.0512,0.0661514,0.0417633
569,0.000152,0.0756,0.094952,0.0512681
570,0.000597,0.0508,0.0733516,0.0589007
571,0.000138,0.0492,0.0612013,0.275926
572,0.001141,0.0336,0.045001,0.309625
573,0.000248,0.058,0.0171004,0.169069
574,0.000162,0.0036,0.0087752,0.0640851
575,0.003581,0.0448,0.0173254,0.0619249
576,0.007236,0.0152,0.0045001,0.0583247
577,0.013178,0.0052,0.0148503,0.0525642
578,0.013584,0.0552,0.0168754,0.0236179
579,0.026428,0.0228,0.0096752,0.0031682
580,0.016954,0.0044,0.0117002,0.0154092
581,0.001852,0.0272,0.0119253,0.0118089
582,0.000033,0.0296,0.0384758,0.012097
583,0,0.0108,0.0337507,0.0082087
584,0.024913,0.0192,0.0141753,0
585,0.012932,0.0056,0.0103502,0.0322586
586,0.030692,0.0064,0.0261006,0.0067685
587,0.051121,0.0432,0.0117002,0.0112329
588,0.049058,0.03,0.00045,0.0237619
589,0.007072,0.0044,0.0049501,0.0093608
590,0.023067,0.0184,0.0681764,0.0299544
591,0.069285,0.03,0.0234005,0.0296664
592,0.049764,0.05,0.0047251,0.0201616
593,0.022401,0.0436,0.0150753,0.0298104
